county,hospital_name,transit_options,num_transit_options
Orange,University Hospital Tower,"['Chapman-The City', 'The City-Chapman', 'The City-Chapman', 'The City-Medical Center', 'The City-Dawn', 'Chapman-The City', 'ALO - Ayres Hotels', 'Hotel Fera', 'Chapman-Manchester', 'Chapman-Renaissance', 'The City-City', 'Chapman-Renaissance', 'Chapman-Manchester', 'The City-Justice Center', 'State College-Orange Center', 'Anaheim-State College', 'State College-Orange Center', 'State College-Orange Center', 'Chapman-Anita', 'Chapman-Anita']",20
Orange,Kindred Hospital Brea,"['Central-Brea', 'Central-Tamarack', 'Central-Brea', 'Brea-Central', 'Central-Brea', 'Brea-State College', 'Central-Tamarack', 'Central-Tamarack', 'Brea-Pepper Tree', 'Brea-Pepper Tree', 'Brea-Pepper Tree', 'Central-Site', 'Central-Site', 'Central-Site']",14
Orange,Chapman Global Medical Center,"['Chapman-Malena', 'Chapman-Yorba', 'Chapman-Yorba', 'Chapman-Malena', 'Chapman-Malena', 'Chapman-Prospect', 'Chapman-Prospect', 'Chapman-Wayfield', 'Chapman-Prospect', 'Chapman-Tustin', 'Tustin-Chapman', 'Tustin-Chapman', 'Tustin-Chapman', 'Tustin-Palm', 'Tustin-Palm', 'Tustin-Palm', 'Chapman-Tustin', 'Tustin-Palmyra']",18
Orange,Providence St. Jude Medical Center,"['Harbor-Valencia Mesa', 'Harbor-Valencia Mesa', 'Harbor-Bastanchury', 'Harbor-Bastanchury', 'Harbor-Ent Brea Dam', 'Harbor-Ent 2700 Fullerton', 'Harbor-Ent 2800 Fairway', 'Brea-Panorama', 'Brea-Longview']",9
Mendocino,Adventist Health Mendocino Coast,"['Cypress St & River St - Coast Hospital', 'Safeway SB', 'Safeway', 'Rite Aid - Fort Bragg', 'Franklin St - Rite Aid', 'Rite Aid', 'Noyo Harbor', 'CV Starr Aquatic Center', 'Chestnut and Sanderson', 'Sanderson Way & Chestnut St', 'Sanderson Way & Chestnut St']",11
Mendocino,Adventist Health Ukiah Valley,"['Ukiah', 'Social Security Administration', 'Clara Ave @ Sidnie St', 'N Main St @ Norton St', 'River Oak Charter School', 'Adventist Health Ukiah Valley', 'Mason St & Norton St', 'Pear Tree Center', 'Clara Ave & Mason St', 'Clara Ave & Sidnie St', 'Pear Tree Center (65 CC Rider)', 'Clara Ave & Sidnie St', 'Main St & Norton St', 'Main St & Norton St', 'Ukiah Library', 'Ukiah Library', 'All in One Auto', 'Across from Big Lots', 'Big Lots - Orchard Plaza', 'The Pub']",20
Mendocino,Adventist Health Howard Memorial,"['Taco Bell', 'Howard Hospital Campus', ""Hwy 101 & Baechtel Rd - Brown's Corner"", 'Willits Senior Center', 'Alder Ln - Lumber Jacks']",5
Mendocino,Adventist Health Mendocino Coast: Emergency Room,"['Cypress St & River St - Coast Hospital', 'Safeway SB', 'Safeway', 'Rite Aid - Fort Bragg', 'Franklin St - Rite Aid', 'Noyo Harbor', 'Rite Aid']",7
Mendocino,Adventist Health hospital,"['Ukiah', 'Social Security Administration', 'Clara Ave @ Sidnie St', 'N Main St @ Norton St', 'Adventist Health Ukiah Valley', 'Mason St & Norton St', 'Clara Ave & Mason St', 'Pear Tree Center', 'Clara Ave & Sidnie St', 'Clara Ave & Sidnie St', 'Pear Tree Center (65 CC Rider)', 'Main St & Norton St', 'Main St & Norton St', 'Ukiah Library', 'Ukiah Library', 'River Oak Charter School', 'All in One Auto', 'The Pub', 'Across from Big Lots', 'Big Lots - Orchard Plaza']",20
Mendocino,Mendocino Coast District Hospital: Surgery,"['Rite Aid - Fort Bragg', 'Cypress St & River St - Coast Hospital', 'Safeway SB', 'Safeway', 'Franklin St - Rite Aid', 'Rite Aid', 'CV Starr Aquatic Center', 'Noyo Harbor']",8
Mendocino,MCHC Health Centers-Dora Street,"['Sherwin Williams', 'Express Mart', 'Wells Fargo', 'Washington Ave @ S Dora St', 'Across from Public Health Dept', 'Public Health Department', 'Washington Ave & Dora St', 'Washington Ave & Dora St', 'Across from Ukiah Food & Liquor', 'Ukiah Food & Liquor', 'Mayacama Inc', ""Bebop's Diner"", ""Saint Mary's"", 'State St & Wabash Ave', 'State St & Cherry St - Ukiah Valley Lumber', 'Royal Motel', 'Dora St & Beacon St', 'Plowshares', 'Gobbi St & Oak St - Chase', 'Gobbi St & Oak St - Rite Aid']",20
Mendocino,Adventist Health Clear Lake,"['Clearlake Apartments', 'Irving & 18th', 'Adventist Health Clearlake Hospital', 'Woodland College', 'Clearlake Apartments', 'J&L Market', 'Irving Avenue and 18th Avenue', 'Irving Avenue and 18th Avenue', ""Ray's Food Place/Walmart"", 'Boyles Avenue and 18th Avenue', 'Boyles Avenue and 21st Avenue', 'Crossroads Church/Crawford St.']",12
Mendocino,"Mendocino Coast Clinics, Inc.","['Cypress St & River St - Coast Hospital', 'Safeway SB', 'Safeway', 'Rite Aid - Fort Bragg', 'Noyo Harbor', 'Franklin St - Rite Aid', 'Rite Aid']",7
Mendocino,Sutter Lakeside Hospital,"['Sutter Lakeside Hospital', 'Northport Mobile Home Park', 'Lakeside Health Center', 'Northport Mobile Home Park', 'Northport Mobile Home Park', 'Lake County Jail']",6
Mendocino,Medical Offices: Adventist Health Ukiah Valley,"['Ukiah', 'Social Security Administration', 'N Main St @ Norton St', 'Clara Ave @ Sidnie St', 'Adventist Health Ukiah Valley', 'Mason St & Norton St', 'Clara Ave & Mason St', 'Main St & Norton St', 'Main St & Norton St', 'All in One Auto', 'Ukiah Library', 'The Pub', 'Ukiah Library', 'Clara Ave & Sidnie St', 'Clara Ave & Sidnie St', 'Pear Tree Center', 'State St & Ford St - Medical Office', 'Pear Tree Center (65 CC Rider)', 'Standley St & School St', 'Perkins St & School St']",20
Mendocino,MCHC Health Centers-Hillside,"['Community Clinic', 'Dora St & Beacon St', 'S. Dora St. & Laws Ave', 'Ukiah Municipal Airport', 'Airport', 'Plowshares', 'Ukiah Valley Fire District', 'Washington Ave @ S Dora St', 'Jefferson Ln & State St', 'Washington Ave & Dora St', 'Washington Ave & Dora St', 'State St & Wabash Ave', 'Ukiah Food & Liquor', 'Across from Ukiah Food & Liquor', ""Bebop's Diner"", 'Grace Hudson School', 'Public Health Department', 'Across from Public Health Dept', 'Deep Valley Mobile Home Park']",19
Mendocino,Mendocino Family Health Center,"['Ukiah', 'Social Security Administration', 'River Oak Charter School', 'N Main St @ Norton St', 'Clara Ave @ Sidnie St', 'Adventist Health Ukiah Valley', 'Ukiah Library', 'Ukiah Library', 'Across from Big Lots', 'Big Lots - Orchard Plaza', 'Mason St & Norton St', 'Pear Tree Center', 'River Oak Charter School', 'River Oak Charter School', 'Alex Thomas Plaza', 'Main St & Norton St', 'Main St & Norton St', 'All in One Auto', 'Pear Tree Center (65 CC Rider)', 'Clara Ave & Mason St']",20
Mendocino,Jerold Phelps Community Hospital - Southern Humboldt Community Healthcare District,"['Garberville', 'Melville and Redwood Dr, Garberville', 'Humboldt House Inn', ""Redwood Dr & Maple Ln - Garberville SB Stop (Calico's)"", 'Redwood Dr & Melville Rd - Garberville NB Stop']",5
Mendocino,Medical Office: Adventist Health Mendocino Coast,"['Rite Aid - Fort Bragg', 'Cypress St & River St - Coast Hospital', 'Safeway SB', 'Safeway', 'Franklin St - Rite Aid', 'Rite Aid', 'Noyo Harbor', 'CV Starr Aquatic Center']",8
Mendocino,Multispecialty: Adventist Health Mendocino Coast,"['Rite Aid - Fort Bragg', 'Cypress St & River St - Coast Hospital', 'Safeway SB', 'Safeway', 'Franklin St - Rite Aid', 'Rite Aid', 'Noyo Harbor']",7
Mendocino,Adventist Health Ukiah Valley JobCare,"['Ukiah', 'Social Security Administration', 'N Main St @ Norton St', 'River Oak Charter School', 'Clara Ave @ Sidnie St', 'Adventist Health Ukiah Valley', 'Ukiah Library', 'Ukiah Library', 'Mason St & Norton St', 'Main St & Norton St', 'Main St & Norton St', 'All in One Auto', 'Clara Ave & Mason St', 'Alex Thomas Plaza', 'Standley St & School St', 'Perkins St & School St', 'Pear Tree Center', 'Across from Big Lots', 'Big Lots - Orchard Plaza', 'The Pub']",20
Riverside,Riverside Community Hospital,"['Market NS Tenth', 'Market FS 14th', 'Magnolia FS 15th', 'Brockton FS 14th', 'Brockton FS 14th', 'Brockton FS Tequesquite', 'Brockton NS Tequesquite', 'Market FS 12th', 'Market FS 11th', 'Riverside City College', '14th FS Orange Grove', 'Market FS 11th', 'Orange FS 12th', 'Market FS 11th', 'Magnolia FS Terracina/RCC', 'Brockton FS Terracina', 'Brockton FS Tenth', 'Lemon NS 13th', 'Market NS Tenth', 'Brockton FS Terracina']",20
Riverside,Riverside University Health System Medical Center,"['Riverside University Medical Center', 'Nason FS Brodiaea', 'Alessandro NS Country Squire', 'Alessandro Opp. Country Squire', 'Alessandro FS Morrison', 'Alessandro FS Morrison', 'Nason FS Alessandro', 'Alessandro FS Morrison', 'Alessandro FS Nason']",9
Riverside,Parkview Community Hospital Medical Center,"['Magnolia FS Jackson', 'Magnolia FS Donald', 'Magnolia FS Overland', 'California FS Jackson', 'Magnolia FS Jackson', 'Magnolia FS Jackson', 'Magnolia FS Donald', 'Magnolia FS Donald', 'Magnolia FS Overland', 'Magnolia FS Overland', 'California FS Jackson', 'California NS Wheeler', 'California FS Goodman', 'California FS Jackson', 'California NS Overland', 'California NS Lido', 'California FS Kingsbury', 'California FS Kingsbury', 'Magnolia NS McKenzie', 'Magnolia FS Monroe']",20
Riverside,Kindred Hospital Riverside,"['Perris FS Citrus', 'Perris FS Lemon', 'Orange NS Perris', 'Perris NS Orange', 'Perris FS Citrus', 'Orange FS Redlands', 'Perris NS Orange', 'Orange FS Redlands', 'Orange FS Redlands', 'Perris FS Citrus', 'Perris NS Spectrum', 'Perris FS Orangetree', 'Perris NS Spectrum']",13
Riverside,Temecula Valley Hospital,"['Temecula Pkwy FS County Glen Way', 'Redhawk Pkwy NS Via Rio Temecula', 'Redhawk Parkway NS Wolf Store Rd']",3
Riverside,Corona Regional Medical Center,"['800 S. Main St & Ninth St @ CRMC', '817 S. Main St & Ninth St', '921 S. Belle Av & Tenth St @ Senior Center', 'Tenth & Belle', '725 S. Main St @ 99 Cent Store', '650 S. Main St & Sixth St @ Front of Library', 'Sixth FS Belle', '6th St & Belle Av @ Rear of Library', '1024 S. Main St & Eleventh St', 'Sixth FS Belle', 'S. Sheridan St & 6th St @ Library', '431 W. Tenth St & Merrill St', '1101 S. Main St & Eleventh St', 'W. Tenth St @ W. Grand Bl @ Merill Park', '500 S. Main St and Fifth St @ Corona Mall', 'Sixth FS Victoria', '1230 S. Main St & Olive St @ Corona Fundamental', 'Sixth NS Victoria', '324 Main St @ Tamazula Baja Grill', '807 W. Grand Av & Eighth St']",20
Riverside,Southwest Healthcare Rancho Springs Hospital,"['Hancock FS Rancho Spring Medical Ctr.', 'Hancock FS Rancho Springs Medical Ctr.', 'Hancock FS Rancho Springs Medical Ctr.', 'Alta Murrieta NS Murrieta Town Center', 'Murrieta Murrieta Hot Springs Road', 'Murrieta Hot Springs FS Alta Murrieta', 'Hancock FS Parkcrest', 'Alta Murrieta FS Rockcrest', 'Hancock FS Hancock Medical Center']",9
Riverside,Southwest Healthcare Inland Valley Hospital,"['Inland Valley Dr at 36485 Hospital', 'Inland Valley Dr Opp 36485 Hospital', 'Prielipp NS Inland Valley', 'Prielipp FS Inland Valley', 'Clinton Keith FS George', 'Clinton Keith FS Wildomar Trl', 'Clinton Keith FS Wildomar Trl', 'Prielipp FS Elizabeth']",8
Riverside,Menifee Global Medical Center,[],0
Riverside,Kaiser Permanente Riverside Medical Center,"['Kaiser Medical Center', 'Magnolia FS Polk', 'Kaiser Medical Center', 'Magnolia NS Polk', 'La Sierra Metrolink Station', 'Magnolia FS Skofstad', 'La Sierra Station', 'Magnolia FS La Sierra', 'La Sierra FS Diana', 'Indiana NS Vallejo', 'Indiana FS Vallejo', 'Magnolia FS Banbury', 'Magnolia FS La Sierra', 'Indiana FS Metrolink', 'Magnolia FS Banbury', 'La Sierra FS Channing', 'Indiana 10555 at Mac Plaza', 'La Sierra FS Cochran', 'La Sierra FS Cochran', 'Indiana 10406 at Tyler Springs Apts.']",20
Riverside,Arrowhead Regional Medical Center,"['San Bernardino at Pepper', 'Arrowhead Medical Center Nb Fs', 'Arrowhead Regional Medical Center', 'San Bernardino @ Pepper Eb Fs', 'Olive @ Meridian Eb Fs', 'San Bernardino @ Pepper Wb Fs', 'Meridian @ Valley Sb Ns', 'San Bernardino @ Pepper Eb Ns', 'Valley @ Rexford Nb Fs', 'Valley @ Meridian Wb Ns', 'San Bernardino @ Eucalyptus Wb Fs', 'Valley @ Eucalyptus Eb Ns', 'Valley @ Hermosa Eb Lat', 'Olive At Cypress', 'Olive @ Cypress Wb Fs', 'Olive @ Cypress Eb Ns', 'Valley @ Cypress Wb Fs']",17
Riverside,Redlands Community Hospital,[],0
Riverside,San Gorgonio Memorial Hospital,"['San Gorgonio Memorial Hospital', 'Sun Lakes Village', '8th Street and Highland Springs Avenue', 'Beaver Medical Group', '6th Street @ Food4Less (Eastbound)', '8th street and Allegheny street', 'Atwell', 'Highland Springs and 2nd Street (Game Stop)', 'Beaumont Swap Meet Route 2', 'Xenia Avenue @ Noble Creek Apartments', '6th Street and Xenia Avenue (Westbound)', 'Xenia Avenue and Carnation Lane (Sundance Elementary)', 'Xenia Avenue and Starlight Avenue (Southbound)']",13
Riverside,Loma Linda University Medical Center,"['Campus At University', 'Barton FS Anderson', 'Loma Linda Univ.', 'Barton FS Campus', 'Barton @ Anderson Wb Fs', 'Sbx - Prospect @ Anderson Nb Ns', 'Barton @ Anderson Eb Fs', 'Anderson @ Prospect Nb Fs', 'Barton @ Anderson Eb Fs', 'Campus @ University Nb Ns', 'Anderson @ Taylor Sb Ns', 'Barton FS Anderson', 'Anderson @ University Sb Fs', 'Campus @ University Sb Fs', 'Anderson @ Stewart NB NS', 'Prospect @ Richie Wb Ns', 'University At Yardley', 'University @ Rosarita Wb Ns', 'Prospect @ Bellaire Wb Fs']",19
Riverside,Dignity Health - Community Hospital of San Bernardino,"['Medical Center @ 17th Sb Ns', 'Medical Center @ 16th Nb Fs', '16th St @ Medical Center', 'Medical Center @ 21st Nb Ns', '16th @ Western Wb Fs', '16th @ Western Eb Ns', 'Medical Center @ 16th Sb Fs', 'Medical Center @ Highland Sb Fs', 'Highland @ Ramona Eb Fs', 'Highland @ Medical Center Wb Ns', 'Highland @ Western Wb Fs', 'Highland @ Western Eb Fs', '16th @ Flores Wb Fs', 'Mt Vernon @ Goodlet Sb Fs', '16th @ Pennsylvania Eb Fs', 'Mt Vernon @ Trenton Sb Fs', 'Mt Vernon @ Trenton Nb Lat', 'Mt Vernon @ 21st Nb Fs', 'Medical Center @ Magnolia Nb Ns', 'Medical Center @ Home Sb Fs']",20
Riverside,Riverside Community Hospital - Tower G,"['Brockton FS 14th', 'Brockton FS 14th', 'Brockton FS Tequesquite', 'Brockton NS Tequesquite', 'Magnolia FS 15th', 'Market FS 14th', 'Brockton FS Terracina', 'Riverside City College', 'Market FS 12th', 'Market FS 11th', 'Brockton FS Terracina', 'Magnolia FS Terracina/RCC', 'Brockton FS Tenth', 'Market NS Tenth', 'Market FS 11th', 'Market FS 11th', 'Orange FS 12th', '14th FS Orange Grove', 'Market NS Tenth', 'Brockton FS Ramona']",20
Riverside,Riverside Community Hospital Emergency Room,"['Market NS Tenth', 'Brockton FS 14th', 'Brockton FS 14th', 'Market FS 14th', 'Magnolia FS 15th', 'Brockton FS Tequesquite', 'Brockton NS Tequesquite', 'Market FS 12th', 'Market FS 11th', 'Riverside City College', 'Market FS 11th', 'Orange FS 12th', 'Market FS 11th', '14th FS Orange Grove', 'Brockton FS Tenth', 'Magnolia FS Terracina/RCC', 'Brockton FS Terracina', 'Lemon NS 13th', 'Market NS Tenth', 'Brockton FS Terracina']",20
Riverside,Dignity Health - St. Bernardine Medical Center,"['21st @ Kenwood Eb Ns', '21st @ Kenwood Wb Fs', 'Highland @ Waterman Eb Fs', ""Highland Ave & Waterman St - St Bernardine's Hospital"", 'Highland @ Waterman Wb Fs', 'Highland @ Valencia Wb Fs', 'Highland @ Wall Eb Ns', '21st @ Valencia Nb Fs', 'Valencia @ Highland Sb Fs', 'Highland @ Valencia Eb Fs', 'Sierra Way @ Highland Nb Ns', 'Sierra Way @ Highland Sb Fs', 'Highland @ Sierra Way Eb Ns', 'Highland @ Sierra Wb Fs', 'Highland @ Cedar Wb Fs', 'Sierra Way @ 18th Nb Fs', 'Sierra Way @ 18th Sb Fs', 'Highland @ Cedar Eb Fs', 'Gilbert @ Parkside Eb Fs', 'Gilbert @ Crestview Wb Ns']",20
Riverside,Riverside County Regional Medical Center ETF/ITS,"['Harrison NS County Farm Road', 'Harrison FS County Farm Road', 'Tyler FS Hole', 'Tyler NS Kidd', 'Hole FS Tyler', 'Hole NS Tyler', 'Magnolia NS Harrison', 'Magnolia FS Harrison', 'Harrison FS Magnolia', 'Tyler FS Hole at Best Buy', 'Galleria @ Tyler WB', 'Galleria @ Tyler EB', 'Tyler FS Magnolia', 'Galleria @ Tyler EB', 'Galleria @ Tyler', 'Tyler FS California', 'Hole FS Bonita', 'Hole NS Bonita', 'Tyler NS California', 'Magnolia FS Tyler']",20
Riverside,Desert Regional Medical Center,"['Palm Springs - Desert Regional Medical Center', 'Indian Canyon & Tachevah (Hospital)', 'Palm Canyon at Vereda Del Sur', 'Indian Canyon at Camino Monte Vista', 'Palm Canyon at Stevens', 'Indian Canyon at Tamarisk', 'N Palm Canyon at Chino', 'Indian Canyon at Alejo']",8
San Mateo,San Mateo Medical Center,"['W Hillsdale Blvd & Hacienda St', 'Alameda de las Pulgas & 39th Ave', '37th Ave & San Mateo County Health Center', '256 37th Ave (San Mateo Medical Ctr)', '256 37th Ave-San Mateo Medical Center', 'El Camino Real & 37th Ave', 'W Hillsdale Blvd & Hacienda St', 'W Hillsdale Blvd & Edison St-Bay 8', 'W Hillsdale Blvd & Hacienda St', 'Hillsdale/Edison', 'Alameda de las Pulgas & 39th Ave', 'Alameda de las Pulgas & 39th Ave', 'El Camino Real & 37th Ave', 'El Camino Real & 39th Ave', 'El Camino Real & 37th Ave', 'El Camino/Hillsdale', 'Alameda de las Pulgas & 42nd Ave', 'El Camino Real & 39th Ave', 'W Hillsdale Blvd & Alameda de las Pulgas', 'Alameda de las Pulgas & 42nd Ave']",20
San Mateo,Dignity Health Sequoia Hospital,"['Alameda de las Pulgas & Whipple Ave', 'Edgewood Rd & Scenic Dr', 'Alameda de las Pulgas & Whipple Ave', 'Alameda de las Pulgas & Whipple Ave', 'Edgewood Rd & Scenic Dr', 'Whipple Ave & Nevada St', 'Edgewood Rd & Scenic Dr', 'Alameda de las Pulgas & Westgate St', 'Alameda de las Pulgas & Westgate St', 'Alameda de las Pulgas & Eaton Ave', 'Alameda de las Pulgas & Saint Francis Way', 'Whipple Ave & Copley Ave', 'Clifford Ave & Victoria Mnr-Clifford ES', 'Whipple Ave & Iris St', 'Alameda de las Pulgas & Harding Ave', 'Alameda de las Pulgas & Harding Ave', 'Alameda de las Pulgas & Hill Way']",17
San Mateo,Mills-Peninsula Medical Center,"['Millbrae', 'Mills-Peninsula Health Services', 'Sisters of Mercy', 'El Camino Real & Trousdale Dr', 'El Camino Real & Murchison Dr', 'El Camino Real & Trousdale Dr', 'Trousdale Dr & Magnolia Ave', 'El Camino Real & Trousdale Dr', 'El Camino Real & Rosedale Ave', 'El Camino Real & Ray Dr', 'Quesada Way & Trousdale Dr-Burlingame School', 'El Camino Real & Murchison Dr', 'El Camino Real & Murchison Dr', 'Rollins/Guittard', 'El Camino Real & Adeline Dr', 'Adeline & Balboa', 'El Camino Real & Adeline Dr', 'El Camino Real & Adeline Dr', 'Adeline & Balboa', 'Adeline & Balboa']",20
San Mateo,San Mateo Medical Center Emergency Room,"['El Camino Real & 37th Ave', 'El Camino Real & 39th Ave', 'W Hillsdale Blvd & Hacienda St', '37th Ave & San Mateo County Health Center', '256 37th Ave (San Mateo Medical Ctr)', '256 37th Ave-San Mateo Medical Center', 'W Hillsdale Blvd & Edison St-Bay 8', 'Hillsdale/Edison', 'El Camino Real & 37th Ave', 'El Camino Real & 37th Ave', 'El Camino Real & 39th Ave', 'W Hillsdale Blvd & Hacienda St', 'El Camino/Hillsdale', 'El Camino Real & 39th Ave', 'W Hillsdale Blvd & Hacienda St', 'Alameda de las Pulgas & 39th Ave', 'Alameda de las Pulgas & 39th Ave', 'Alameda de las Pulgas & 39th Ave', 'El Camino/Hillsdale', 'Hillsdale Station']",20
San Mateo,Mills Health Center,"['2nd Ave & S San Mateo Dr', 'El Camino Real & 2nd Ave', '1st Ave & B St', 'Dartmouth Rd & 5th Ave', 'S San Mateo Dr & 2nd Ave', 'El Camino Real & 2nd Ave', 'El Camino Real & 2nd Ave', 'S San Mateo Dr & E 4th Ave', '1st Ave & B St.', '4th Ave & El Camino Real-San Mateo', '4th Ave. & El Camino Real-San Mateo', 'E 4th Ave & S Ellsworth Ave', 'El Camino Real & 4th Ave', 'San Mateo Caltrain Station', 'El Camino Real & E 5th Ave', 'San Mateo Station', 'El Camino Real & El Cerrito Ave', 'El Camino Real & Tilton Ave', 'S Delaware St & 2nd Ave', 'S Delaware St & 3rd Ave']",20
San Mateo,AHMC Seton Medical Center,"['Colma', 'Alta Loma Ave & Saint Francis Blvd', 'Eastmoor Ave & Sullivan Ave', 'Saint Francis Blvd & Mariposa Ave', 'Saint Francis Blvd & Casa Ave', 'Sullivan Ave & Southgate Ave', 'Junipero Serra Blvd & Colma Blvd', 'Alta Loma Ave & Eastmoor Ave', 'Southgate Ave & Cerro Dr', 'Seton Medical Office Center (1800-1850 Sullivan)', 'San Fernando Way & Seton Medical Ctr Rear Entrance', 'Seton Medical Ctr-Daly City', 'Buena Vista Ave & Camelia Dr', 'Alta Loma Ave & Saint Francis Blvd', 'Junipero Serra Blvd & Colma Park N Ride', 'Alta Loma Ave & Saint Francis Blvd', 'Eastmoor Ave & Sullivan Ave', 'Saint Francis Blvd & Mariposa Ave', 'Eastmoor Ave & Sullivan Ave', 'Eastmoor Ave & Mirada Dr']",20
San Mateo,San Mateo County Pre Hospital,"['Bayshore Hwy & Burlway Rd', 'El Camino Real & Adeline Dr', 'El Camino Real & Hillside Dr', 'David/Rollins', '1600 Rollins Road', 'Bayshore/Old County', 'Bayshore Hwy & One Bay Plz', 'Bayshore Hwy & Burlway Rd', 'Bayshore Hwy & Burlway Rd', 'El Camino Real & Adeline Dr', 'El Camino Real & Adeline Dr', 'El Camino Real & Hillside Dr', '1649 Adrian Road', 'El Camino Real & Hillside Dr', 'Adeline & Balboa', 'Adeline & Balboa', 'Bayshore Hwy & Airport Blvd', 'Adeline & Balboa', 'El Camino Real & Ray Dr', 'Bayshore/Hinckley']",20
San Mateo,California Pacific Med Center,"['El Camino Real & 2nd Ave', '2nd Ave & S San Mateo Dr', 'El Camino Real & Poplar Ave', '1st Ave & B St', 'El Camino Real & El Cerrito Ave', 'El Camino Real & Tilton Ave', 'El Camino Real & 2nd Ave', 'S San Mateo Dr & 2nd Ave', 'El Camino Real & 2nd Ave', 'El Camino Real & Poplar Ave', 'El Camino Real & Poplar Ave', 'W Poplar Ave & El Camino Real', '1st Ave & B St.', 'San Mateo Station', 'San Mateo Caltrain Station', '4th Ave & El Camino Real-San Mateo', 'N Delaware St & Monte Diablo Ave', 'S San Mateo Dr & E 4th Ave', '4th Ave. & El Camino Real-San Mateo', '153 N Delaware St']",20
San Mateo,Kaiser Permanente San Mateo Medical Offices,"['E Hillsdale Blvd & Curtiss St', 'Franklin Pkwy & Saratoga Dr', 'Hillsdale Blvd & Saratoga dr', 'Franklin Pkwy & Park Pl', 'E Hillsdale Blvd & Saratoga Dr', 'E Hillsdale Blvd & Pike Ln', 'Saratoga Dr & Park Pl', 'Saratoga Dr & Park Pl', 'Saratoga Dr & Yates Way', 'Franklin Pkwy & Curtis St', 'Franklin / Franklin', 'E Hillsdale Blvd & Curtiss St', 'E Hillsdale Blvd & S Norfolk St', 'E Hillsdale Blvd & Curtiss St', 'La Selva St & Casa De Campo', 'E Hillsdale Blvd & S Norfolk St', 'Franklin Pkwy & Delaware St', 'Franklin Pkwy & Delaware St', 'S Norfolk St & E Hillsdale Blvd', 'S Norfolk St & E Hillsdale Blvd']",20
San Mateo,Sutter Health,"['Millbrae', 'Mills-Peninsula Health Services', 'Sisters of Mercy', 'El Camino Real & Trousdale Dr', 'El Camino Real & Murchison Dr', 'Trousdale Dr & Magnolia Ave', 'El Camino Real & Trousdale Dr', 'El Camino Real & Trousdale Dr', 'El Camino Real & Rosedale Ave', 'Quesada Way & Trousdale Dr-Burlingame School', 'El Camino Real & Ray Dr', 'El Camino Real & Murchison Dr', 'El Camino Real & Murchison Dr', 'Rollins/Guittard', 'El Camino Real & Adeline Dr', 'Adeline & Balboa', 'El Camino Real & Adeline Dr', 'El Camino Real & Adeline Dr', 'Adeline & Balboa', 'Adeline & Balboa']",20
San Mateo,San Mateo County Health Foundation,"['El Camino Real & 37th Ave', 'W Hillsdale Blvd & Hacienda St', 'El Camino Real & 39th Ave', '37th Ave & San Mateo County Health Center', '256 37th Ave (San Mateo Medical Ctr)', '256 37th Ave-San Mateo Medical Center', 'W Hillsdale Blvd & Edison St-Bay 8', 'Hillsdale/Edison', 'El Camino Real & 37th Ave', 'W Hillsdale Blvd & Hacienda St', 'El Camino Real & 37th Ave', 'W Hillsdale Blvd & Hacienda St', 'El Camino Real & 39th Ave', 'El Camino/Hillsdale', 'Alameda de las Pulgas & 39th Ave', 'El Camino Real & 39th Ave', 'Alameda de las Pulgas & 39th Ave', 'Alameda de las Pulgas & 39th Ave', 'El Camino/Hillsdale', 'Alameda de las Pulgas & 42nd Ave']",20
San Mateo,Sutter Urgent Care - San Mateo,"['2nd Ave & S San Mateo Dr', 'El Camino Real & 2nd Ave', '1st Ave & B St', 'Dartmouth Rd & 5th Ave', 'S San Mateo Dr & 2nd Ave', 'El Camino Real & 2nd Ave', 'El Camino Real & 2nd Ave', 'S San Mateo Dr & E 4th Ave', '1st Ave & B St.', '4th Ave & El Camino Real-San Mateo', '4th Ave. & El Camino Real-San Mateo', 'E 4th Ave & S Ellsworth Ave', 'El Camino Real & 4th Ave', 'San Mateo Caltrain Station', 'El Camino Real & E 5th Ave', 'San Mateo Station', 'El Camino Real & El Cerrito Ave', 'El Camino Real & Tilton Ave', 'S Delaware St & 2nd Ave', 'S Delaware St & 3rd Ave']",20
San Mateo,Palo Alto VA Medical Center,"['Palo Alto Veterans Hospital', 'Miranda & Hillview', 'Hillview Av & Miranda Av', 'Hillview & Miranda (Stanford Blood Ctr)', '3373 Hillview Ave', 'Hillview & Porter (S)', 'Miranda & Hospital Driveway', 'Hillview & Coyote Hill', 'Hillview & Watkins-Johnson', 'On Hillview Avenue @ Coyote Hill Road', 'Miranda & Hospital Driveway', 'Hillview Ave @ Porter Dr', 'Hanover and Hillview', 'Hanover & Hillview', 'Hillview & VMware', 'On Porter Drive @ Hillview Avenue', 'Miranda & Arastradero', 'Miranda & Arastradero', '3251 Hanover St', '3431 Hillview Av']",20
